zoning_summary,count,total_sqft
LNC-NP-HS,3,60373.55824466994
LNC-NP-PS,1,37601.710881219326
LNC-NP-PS-HD,1,72884.49413994835
LNC-NP-TR,3,33787.500930852846
LNC-NP-TR-HD,33,272582.4784393157
LNC-PR,4,254847.4376637981
LNC-PR-BC-TR,2,30327.88308719914
LNC-PR-BC-TR-PS,1,200876.375043187
LNC-PR-HO-HD,2,79544.07440213751
LNC-PR-HO-PS,1,392862.2587182164
LNC-PR-LS-BC-TR-PS,1,519894.4967410597
LNC-PR-LS-TR-PS,2,4957.893904717303
LNC-PR-PS,7,269948.75773423613
LNC-PR-TR,1,388552.5405031295
LNC-PS,657,13050832.255393878
LNC-PS-HD,2,21423.4598336402
LNC-PS-HS,9,261884.807949087
LNC-SR,6,24415.36515802303
LNC-SR-PS,2,356775.1464677785
LNC-TR,242,2196897.0148543683
LNC-TR-HS,6,53995.19739501374
LNC-TR-PS,69,639172.413119464
LNC-TR-PS-HS,4,486819.85837379517
LNC-TR-SR-PS,1,490409.4901765115
LNC-UM,423,3237448.007971525
LNC-UM-HS,4,29800.940906552914
LNC-UM-LS,12,62444.5224701224
LNC-UM-LS-PS,19,952953.4449186381
LNC-UM-LS-TR-PS,3,3139988.6655343934
LNC-UM-PR,1,14671.678296693279
LNC-UM-PR-PS,6,477127.7471804105
LNC-UM-PR-TR-PS,2,202853.02177583188
LNC-UM-PS,657,8702278.880691614
LNC-UM-PS-HS,4,46403.75451768029
LNC-UM-SR-PS,2,1134210.0187711238
LNC-UM-TR,104,584147.9953480575
LNC-UM-TR-PS,101,735791.6227588448
MTOBOR-UM,1408,9801294.122270856
MTOBOR-UM-LS-PS,11,315121.8666393342
MTOBOR-UM-LS-SR-PS,5,1839014.470380888
MTOBOR-UM-PS,72,1735587.2826968292
NDI,367,2331917.442407308
NDI-FP,1,2484.46135170225
NDI-FP-LS-PS,6,330681.16197610146
NDI-FP-LS-TR,2,17684.478123326677
NDI-FP-LS-TR-PS,21,961231.0300670048
NDI-FP-LS-TR-SR,3,5481.542347633831
NDI-FP-LS-TR-SR-PS,33,1502390.0765734715
NDI-FP-NP-PR-HO-TR-PS-HD,1,817657.8722083376
NDI-FP-SR-PS,2,17993.477631691167
NDI-FP-TR,29,321588.98000543186
NDI-FP-TR-PS,3,188086.0216984069
NDI-FP-TR-SR,11,198165.18876311262
NDI-FP-TR-SR-PS,13,510654.23270458577
NDI-FP-UM-LS-PS,1,112430.86689121921
NDI-FP-UM-PR-LS-PS,1,160569.4733866767
NDI-FP-UM-PS,2,27155.12501558531
NDI-FP-UM-SR-PS,7,335125.90916606283
NDI-FP-UM-TR-PS,1,24327.11392171824
NDI-HD,20,203090.5160480236
NDI-HS,2,28092.189642904625
NDI-IZ,54,368626.70268091286
NDI-IZ-PS,2,51467.44291052267
NDI-IZ-PS-HS,1,56033.13464013765
NDI-LS,3,16168.455669696155
NDI-LS-PS,52,1901290.0386509318
NDI-LS-PS-HS,1,631594.6545250503
NDI-LS-SR-PS,1,17536.558528548027
NDI-LS-TR-PS,24,1779829.952855531
NDI-LS-TR-SR-PS,1,88998.40979734935
NDI-NP,20,209819.9969322254
NDI-NP-HD,1,4328.005002251654
NDI-NP-HS,1,29429.309256217697
NDI-NP-PS,1,35293.943196896085
NDI-NP-TR-HD,1,11134.444516422263
NDI-NP-TR-PS-HD,4,231635.11816377018
NDI-PR-HO-HD,2,79544.07440213751
NDI-PR-LS-PS,3,300084.08179808076
NDI-PR-PS,1,176545.8986545124
NDI-PS,82,3165165.820418596
NDI-TR,1,4153.700714175015
NDI-TR-PS,3,134170.0498717214
NDI-UM,8,358517.9259861911
NDI-UM-LS,2,113672.39912105867
NDI-UM-LS-PS,24,4476382.728482428
NDI-UM-LS-SR-PS,1,25405.947906618683
NDI-UM-PR-LS-PS,1,510435.5822850708
NDI-UM-PS,50,2855591.871703532
NDI-UM-SR,2,10271.498467734817
NDI-UM-SR-PS,8,1026374.1668534062
NDI-UM-TR-PS,1,2559223.2284359033
NDO,60,368316.50333248265
NDO-HS,2,11021.891471323617
NDO-LS-PS,4,20443.031420781655
NDO-NP,23,73127.23186776826
NDO-NP-HS,1,11689.497445186831
NDO-NP-TR-HD,2,44990.20656841862
NDO-NP-TR-PS-HD,3,33347.930241206705
NDO-NP-TR-PS-HD-HS,1,21156.324043344386
NDO-PS,24,376415.17575106054
NDO-UM-LS-PS,18,513614.81185788376
NDO-UM-PS,2,394614.65536134446
P,161,3049543.4283652953
P-BC-TR,1,11238.7874591651
P-FP-LS-PS,23,9126209.461478055
P-FP-LS-PS-HS,2,271156.0871619024
P-FP-LS-RR-PS,4,1308467.3197726207
P-FP-LS-SR,1,16120.614411837305
P-FP-LS-SR-PS,35,11466087.847614836
P-FP-LS-SR-PS-HD,1,10143.09618026114
P-FP-LS-TR-PS,8,1045335.7490366057
P-FP-LS-TR-SR-PS,22,4921483.91009743
P-FP-NP-PR-HO-TR-PS-HD,1,817657.8722083376
P-FP-PR-HO-LS-PS,1,302656.14615130087
P-FP-PR-HO-LS-RR-PS,3,2165970.368231202
P-FP-PR-HO-LS-RR-PS-HD,1,5023865.88163913
P-FP-PR-HO-LS-RR-PS-HS,1,27358873.271680683
